City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Naze,98,NG,1571442441,97,5.43,7.07,72.9,2.17
Biak,86,ID,1571442441,80,-0.91,122.88,70.78,3.04
Polunochnoye,0,RU,1571442442,87,60.87,60.43,18.85,1.1
Kupang,20,ID,1571442443,61,-10.16,123.6,80.6,4.7
Georgetown,75,GY,1571442443,79,6.8,-58.16,84.2,11.41
Tiksi,1,RU,1571442444,92,71.64,128.87,6.26,2.77
Zhanaozen,0,KZ,1571442444,37,43.35,52.85,55.94,8.55
Airai,88,TL,1571442445,43,-8.93,125.41,84.42,4.05
Haines Junction,99,CA,1571442445,92,60.75,-137.51,28.28,3.76
Prince Rupert,90,CA,1571442445,87,54.32,-130.32,48.2,9.17
Saint Anthony,33,US,1571442446,32,43.97,-111.68,51.8,25.28
Lahat,100,ID,1571442446,92,-3.78,103.55,71.53,0.6
Dukat,0,AL,1571442447,84,40.25,19.57,66.0,1.99
Giyon,43,ET,1571442447,85,8.53,37.98,54.2,0.83
Ikalamavony,0,MG,1571442448,71,-21.17,46.6,60.82,6.24
Butaritari,58,KI,1571442449,76,3.07,172.79,84.2,12.86
Bombay,90,US,1571442449,65,44.94,-74.57,46.4,6.93
Hami,18,CN,1571442450,26,42.84,93.51,37.94,5.75
Solnechnyy,85,RU,1571442451,76,50.72,136.64,40.75,2.35
San Patricio,60,PY,1571442451,97,-26.98,-56.83,64.8,5.12
Hasaki,75,JP,1571442452,94,35.73,140.83,69.8,5.82
Bira,93,RU,1571442455,70,49.0,132.47,42.52,0.78
Sitka,10,US,1571442455,42,37.17,-99.65,77.0,18.01
Tuktoyaktuk,90,CA,1571442455,79,69.44,-133.03,28.4,8.05
Sangar,100,RU,1571442456,90,63.92,127.47,34.33,15.05
Nadym,93,RU,1571442456,89,65.53,72.51,23.29,11.3
Kalabo,0,ZM,1571442457,15,-15.0,22.67,70.31,5.57
Busselton,11,AU,1571442457,42,-33.64,115.35,61.0,22.1
Yokadouma,64,CM,1571442457,99,3.52,15.05,68.67,1.19
Victoria,75,BN,1571442458,88,5.28,115.24,80.6,2.24
Ruteng,13,ID,1571442458,58,-8.61,120.46,83.03,3.65
Christchurch,18,NZ,1571442459,76,-43.53,172.64,66.0,11.41
Longido,88,TZ,1571442459,89,-2.73,36.7,61.99,8.32
Grindavik,75,IS,1571442459,93,63.84,-22.43,41.0,5.82
Guangyuan,77,CN,1571442460,89,32.43,105.86,56.81,2.62
Khatanga,0,RU,1571442460,94,71.98,102.47,1.31,4.18
Atikokan,17,CA,1571442461,74,48.76,-91.62,46.8,11.88
Lebu,75,ET,1571442461,76,8.96,38.73,57.2,2.24
Saldanha,100,PT,1571442462,75,41.42,-6.55,55.76,8.34
Mastic Beach,90,US,1571442462,58,40.77,-72.85,54.0,11.41
Ponta do Sol,9,BR,1571442462,53,-20.63,-46.0,74.34,3.6
Ambon,100,FR,1571442463,87,47.55,-2.56,55.4,5.82
Lavrentiya,100,RU,1571442463,93,65.58,-170.99,26.1,3.31
Kloulklubed,75,PW,1571442464,79,7.04,134.26,84.2,5.82
Dromolaxia,0,CY,1571442464,83,34.88,33.59,72.0,8.05
Qaqortoq,84,GL,1571442465,69,60.72,-46.03,35.6,2.24
Port Lincoln,64,AU,1571442465,66,-34.72,135.86,54.11,18.66
Yulara,60,AU,1571442466,18,-25.24,130.99,78.8,5.82
Baiyin,40,CN,1571442466,100,36.55,104.13,39.2,4.47
Bon Accord,20,CA,1571442467,43,53.84,-113.41,52.0,5.82
Niamey,0,NE,1571442467,43,13.52,2.11,89.6,5.82
Ternate,20,PH,1571442468,74,14.29,120.72,84.2,2.24
Arraial do Cabo,0,BR,1571442469,88,-22.97,-42.02,73.4,8.05
Tucumcari,1,US,1571442469,16,35.17,-103.73,78.8,25.28
General Roca,0,AR,1571442470,26,-39.03,-67.58,71.6,4.7
Pamplona,40,ES,1571442470,77,42.82,-1.64,62.6,9.17
Bintulu,75,MY,1571442470,100,3.17,113.03,75.2,3.36
Sinnamary,10,GF,1571442471,80,5.38,-52.96,82.26,17.49
Pangoa,63,PE,1571442471,96,-12.12,-73.0,69.95,2.26
Kamaishi,75,JP,1571442471,100,39.28,141.86,53.6,4.7
Hithadhoo,94,MV,1571442472,72,-0.6,73.08,81.27,9.33
Kayerkan,40,RU,1571442472,84,69.35,87.76,5.0,11.18
Ridgecrest,1,US,1571442473,12,35.62,-117.67,78.8,13.87
Aykhal,90,RU,1571442473,92,65.95,111.51,26.6,6.71
Iquitos,75,PE,1571442473,83,-3.75,-73.25,78.8,3.36
Carnarvon,43,ZA,1571442474,47,-30.97,22.13,64.87,2.75
Provideniya,100,RU,1571442474,78,64.42,-173.23,25.87,4.0
Ayan,82,IR,1571442475,62,38.23,44.7,42.84,2.59
Hermanus,0,ZA,1571442475,90,-34.42,19.24,63.0,4.0
Yorkton,20,CA,1571442475,62,51.21,-102.46,53.6,9.17
Porto Nacional,20,BR,1571442475,66,-10.7,-48.41,84.2,1.88
Kununurra,49,AU,1571442476,65,-15.77,128.74,82.4,4.7
Alofi,93,NU,1571442476,82,-19.06,-169.92,77.67,13.11
Esperance,39,AU,1571442477,76,-33.86,121.89,51.8,10.29
Vukovar,0,HR,1571442478,87,45.34,19.0,53.01,2.24
Turukhansk,100,RU,1571442478,95,65.8,87.96,23.99,3.24
Agadir,0,MA,1571442479,82,30.42,-9.58,59.0,3.36
Mahebourg,75,MU,1571442479,64,-20.41,57.7,71.6,12.75
Bambous Virieux,75,MU,1571442480,64,-20.34,57.76,71.6,12.75
Kodinsk,30,RU,1571442480,85,58.6,99.18,26.28,7.76
Klaksvik,93,FO,1571442481,80,62.23,-6.59,41.0,6.93
Meulaboh,100,ID,1571442481,82,4.14,96.13,80.46,9.4
Ambilobe,29,MG,1571442482,63,-13.19,49.05,73.12,8.81
Oliveira,20,BR,1571442482,58,-20.7,-44.83,72.11,3.33
Vavoua,77,CI,1571442483,97,7.38,-6.48,71.44,3.13
Lazaro Cardenas,5,MX,1571442483,23,28.39,-105.62,84.2,10.29
Skjervoy,96,NO,1571442484,57,70.03,20.97,37.94,10.0
Saint-Ambroise,90,CA,1571442484,87,48.56,-71.32,46.0,18.34
Horsens,42,DK,1571442485,93,55.86,9.84,53.6,13.87
Taungdwingyi,90,MM,1571442485,92,20.0,95.55,74.66,1.92
Jabinyanah,20,TN,1571442485,83,35.03,10.91,71.6,8.99
Vardo,1,US,1571442486,50,39.62,-77.74,53.6,6.93
Tonekabon,40,IR,1571442486,93,36.82,50.88,64.4,2.24
Freeport,75,BS,1571442486,83,26.54,-78.7,80.6,3.36
Severo-Kurilsk,80,RU,1571442487,80,50.68,156.12,41.31,22.03
Te Anau,92,NZ,1571442487,89,-45.41,167.72,47.77,4.23
Cap Malheureux,75,MU,1571442488,64,-19.98,57.61,71.6,12.75
Acari,55,BR,1571442488,73,-6.44,-36.64,76.93,18.16
Bandarbeyla,100,SO,1571442488,87,9.49,50.81,76.21,8.34
Dongkan,0,CN,1571442489,72,34.0,119.83,60.84,1.32
Cheremshanka,29,RU,1571442489,76,47.9,142.19,50.26,17.38
Mayya,90,RU,1571442489,100,61.74,130.28,26.6,4.47
Lisburn,99,GB,1571442490,87,54.51,-6.04,48.2,9.17
Caravelas,0,BR,1571442490,82,-17.73,-39.27,73.89,11.5
Trapani,0,IT,1571442490,68,38.02,12.54,64.4,5.82
Kericho,75,KE,1571442490,93,-0.37,35.28,64.4,3.36
Necochea,0,AR,1571442491,93,-38.55,-58.74,51.01,7.0
Kruisfontein,65,ZA,1571442491,96,-34.0,24.73,58.84,1.39
New Norfolk,75,AU,1571442492,53,-42.78,147.06,53.01,14.99
Rjukan,100,NO,1571442492,99,59.88,8.59,45.0,11.99
Barrow,0,AR,1571442493,82,-38.31,-60.23,49.41,5.68
Bonavista,79,CA,1571442493,77,48.65,-53.11,57.99,1.01
Seoul,1,KR,1571442494,93,37.57,126.98,55.4,3.36
Cabo San Lucas,40,MX,1571442494,73,22.89,-109.91,86.0,19.46
Vanimo,100,PG,1571442494,72,-2.67,141.3,81.49,0.96
Juegang,0,CN,1571442495,53,32.31,121.18,72.0,8.1
Bathsheba,40,BB,1571442495,78,13.22,-59.52,82.4,6.93
Pimentel,76,BR,1571442495,82,-3.7,-45.5,77.2,3.42
Chuy,0,UY,1571442496,81,-33.69,-53.46,56.61,10.22
San Felipe,0,CL,1571442497,84,-32.75,-70.73,49.1,2.04
Povenets,99,RU,1571442497,95,62.85,34.83,36.36,5.86
Bata,75,GQ,1571442498,100,1.87,9.77,77.0,3.36
Rawson,76,AR,1571442498,47,-43.3,-65.11,52.52,11.41
Ulaangom,29,MN,1571442499,73,49.98,92.07,25.07,1.12
Hyeres,90,FR,1571442500,88,43.12,6.14,70.0,8.05
High Level,90,CA,1571442500,86,58.52,-117.13,39.2,8.05
Nueva Loja,75,EC,1571442500,78,0.08,-76.88,86.0,8.05
Karpathos,35,GR,1571442501,82,35.51,27.21,68.0,5.82
Katsuura,75,JP,1571442502,100,33.93,134.5,72.0,2.24
Geraldton,75,CA,1571442502,80,49.72,-86.95,39.2,5.82
Deputatskiy,27,RU,1571442502,95,69.3,139.9,2.97,0.56
Cabedelo,40,BR,1571442503,88,-6.97,-34.84,75.2,5.82
Abiramam,40,IN,1571442503,88,9.44,78.44,78.8,3.36
Melfort,75,CA,1571442503,66,52.87,-104.61,50.0,4.7
Beitbridge,0,ZA,1571442504,33,-22.21,29.99,67.99,9.6
Thinadhoo,100,MV,1571442504,73,0.53,72.93,81.4,11.61
Maracaibo,75,CO,1571442505,69,3.41,-75.78,75.2,9.17
Maldonado,0,UY,1571442505,77,-34.91,-54.96,59.0,9.17
Belfast,87,GB,1571442505,87,54.6,-5.93,48.2,9.17
Srivardhan,100,IN,1571442506,91,18.03,73.02,74.59,7.47
Haputale,74,LK,1571442506,88,6.77,80.96,66.87,2.93
Yarada,75,IN,1571442507,100,17.65,83.27,77.0,2.24
Dongsheng,0,CN,1571442507,55,29.72,112.52,62.95,3.38
Hambantota,94,LK,1571442507,80,6.12,81.12,80.26,5.68
Preobrazheniye,24,RU,1571442508,59,42.9,133.91,52.6,2.06
Evanston,1,US,1571442508,50,42.04,-87.69,57.2,5.82
Nazarovo,99,RU,1571442509,75,56.01,90.42,30.37,6.62
Mainit,63,PH,1571442509,73,9.54,125.52,81.5,2.44
Wiang Sa,40,TH,1571442509,100,8.64,99.37,78.01,6.93
The Pas,90,CA,1571442510,81,53.82,-101.24,46.4,12.75
Rohnert Park,1,US,1571442510,59,38.34,-122.7,72.0,12.75
Allahabad,72,IN,1571442511,64,25.44,81.83,74.66,3.94
Beloha,0,MG,1571442511,67,-25.17,45.06,69.03,6.26
Davila,40,PH,1571442512,78,18.47,120.58,80.6,10.29
Narsaq,84,GL,1571442512,69,60.91,-46.05,35.6,2.24
Progreso,0,UY,1571442513,63,-34.68,-56.22,64.0,5.82
Soledade,75,BR,1571442513,100,-7.06,-36.37,69.8,8.05
Honolulu,75,US,1571442514,66,21.3,-157.86,90.0,9.17
Tautira,40,PF,1571442514,66,-17.73,-149.15,86.0,23.04
Cangucu,26,BR,1571442515,87,-31.39,-52.68,58.81,6.69
Ha Tinh,87,VN,1571442515,90,18.33,105.9,72.22,2.86
Aklavik,90,CA,1571442515,100,68.22,-135.01,23.0,5.82
Mount Gambier,75,AU,1571442516,76,-37.83,140.78,50.0,21.92
Port Hardy,75,CA,1571442516,87,50.7,-127.42,50.0,5.82
Coihaique,40,CL,1571442516,58,-45.58,-72.07,53.6,4.7
Sigli,96,ID,1571442517,89,5.38,95.96,74.18,3.31
Albuquerque,40,US,1571442517,21,35.08,-106.65,70.0,23.04
Hede,90,SE,1571442517,100,60.45,15.49,46.99,4.7
San Carlos de Bariloche,0,AR,1571442518,16,-41.13,-71.31,64.4,5.82
Pangnirtung,98,CA,1571442518,89,66.15,-65.72,12.69,5.68
Veraval,100,FR,1571442518,93,49.65,0.71,53.01,11.41
Menongue,0,AO,1571442519,20,-14.66,17.68,65.65,2.46
Walvis Bay,0,NA,1571442519,87,-22.95,14.51,63.0,8.05
Maine-Soroa,20,NE,1571442520,47,13.21,12.02,85.36,5.32
Port Elizabeth,1,US,1571442520,70,39.31,-74.98,57.0,6.04
Shingu,75,JP,1571442520,94,33.72,135.99,73.4,8.05
Kidal,0,ML,1571442521,21,18.44,1.41,84.35,5.61
Mezen,100,RU,1571442521,79,65.85,44.24,29.5,14.83
Longhua,0,CN,1571442521,78,29.21,106.21,63.81,1.72
Dzilam Gonzalez,100,MX,1571442522,99,21.28,-88.93,80.01,1.99
Panaba,100,MX,1571442522,91,21.28,-88.27,79.6,5.79
Poronaysk,0,RU,1571442522,54,49.22,143.1,46.42,2.53
Santa Isabel do Rio Negro,65,BR,1571442523,86,-0.41,-65.02,76.27,1.52
Talant,90,FR,1571442523,93,47.34,5.0,57.2,3.36
Lagunas,50,PE,1571442523,81,-5.23,-75.68,77.8,1.95
Moose Factory,90,CA,1571442524,100,51.26,-80.61,35.6,5.03
Antofagasta,90,CL,1571442524,77,-23.65,-70.4,59.0,12.75
Johi,0,PK,1571442524,26,26.69,67.61,77.62,10.83
Malanje,88,AO,1571442525,99,-9.54,16.35,65.97,3.87
Kaitangata,85,NZ,1571442525,68,-46.28,169.85,60.01,5.01
Ostrow Mazowiecka,23,PL,1571442525,51,52.8,21.9,52.0,7.47
Kahului,40,US,1571442526,51,20.89,-156.47,86.0,14.99
Ko Samui,40,TH,1571442526,88,9.54,99.94,80.6,2.24
Harper,1,US,1571442526,41,30.3,-99.24,78.8,6.93
Dargaville,51,NZ,1571442527,84,-35.94,173.86,60.08,18.66
Hohhot,0,CN,1571442527,75,40.81,111.65,35.6,6.71
Faanui,98,PF,1571442528,78,-16.48,-151.75,80.42,12.75
Salmo,91,CA,1571442528,88,49.19,-117.28,37.82,4.68
Khash,0,IR,1571442529,23,28.22,61.21,53.91,1.72
Vagur,94,FO,1571442529,77,61.47,-6.81,45.79,28.86
Licata,0,IT,1571442530,88,37.11,13.95,62.6,4.7
Tecoanapa,90,MX,1571442530,83,16.99,-99.26,82.4,3.36
Ahuimanu,75,US,1571442531,66,21.44,-157.84,90.0,9.17
Grand Gaube,75,MU,1571442531,64,-20.01,57.66,71.6,12.75
Wuwei,79,CN,1571442532,42,37.93,102.64,45.22,4.23
San Andres,82,PH,1571442532,81,13.32,122.68,81.13,4.12
Puri,87,ID,1571442532,61,-7.54,112.45,81.76,8.43
Kitimat,75,CA,1571442533,75,54.02,-128.69,46.4,19.46
Olinda,20,AU,1571442533,70,-37.84,145.39,57.99,18.34
Port Macquarie,0,AU,1571442533,35,-31.43,152.91,88.0,5.82
Pangai,75,TO,1571442534,74,-19.8,-174.35,78.8,11.41
Hokitika,8,NZ,1571442534,73,-42.72,170.96,57.11,10.69
Zhigansk,100,RU,1571442534,96,66.77,123.37,24.12,9.08
Krasnovishersk,0,RU,1571442534,77,60.4,57.08,24.28,1.21
Matagami,64,NG,1571442535,97,9.67,8.4,67.73,3.33
Tyristrand,90,NO,1571442535,93,60.08,10.1,48.0,12.75
San Cristobal,44,HN,1571442535,88,14.68,-86.92,70.02,4.72
Flinders,0,AU,1571442536,22,-34.58,150.85,78.01,18.34
Saurimo,3,AO,1571442536,90,-9.66,20.4,64.37,4.05
Sonari,40,IN,1571442537,94,27.03,95.02,73.4,3.36
Cockburn Town,52,TC,1571442537,69,21.46,-71.14,84.06,11.72
Isangel,75,VU,1571442538,83,-19.55,169.27,77.0,6.29
San Vicente,40,EC,1571442538,78,-0.59,-80.41,73.4,12.75
Sola,49,TZ,1571442539,74,-3.17,33.8,70.18,1.79
Nanortalik,78,GL,1571442539,79,60.14,-45.24,37.44,4.12
Alberton,85,ZA,1571442539,34,-26.25,28.13,73.4,6.33
Kroya,100,ID,1571442540,61,-6.5,108.06,81.72,4.45
Saint-Philippe,90,CA,1571442540,70,45.36,-73.48,48.2,3.36
Talnakh,40,RU,1571442540,84,69.49,88.39,5.0,11.18
Aberdeen,90,US,1571442541,87,46.98,-123.82,55.99,16.11
Vila do Maio,49,CV,1571442542,78,15.13,-23.22,80.6,9.17
Luangwa,0,MZ,1571442543,45,-15.62,30.4,65.83,1.77
Guerrero Negro,0,MX,1571442545,80,27.97,-114.04,66.2,17.87
Visby,100,SE,1571442546,100,57.64,18.3,55.0,10.29
Codrington,0,AU,1571442546,53,-28.95,153.24,78.01,8.05
Maningrida,10,AU,1571442547,43,-12.05,134.23,90.29,8.7
Emmanouil Pappas,9,GR,1571442547,92,41.08,23.72,64.0,1.01
Sao Filipe,27,CV,1571442548,87,14.9,-24.5,78.43,18.57
Slave Lake,40,CA,1571442548,57,55.28,-114.77,50.0,5.82
Waingapu,36,ID,1571442548,54,-9.65,120.26,81.72,7.65
Ketchikan,90,US,1571442549,75,55.34,-131.65,46.4,3.36
Patea,38,NZ,1571442549,88,-39.76,174.48,57.99,14.0
Buala,98,SB,1571442550,74,-8.15,159.59,83.86,8.05
Evensk,7,RU,1571442550,59,61.92,159.24,17.77,10.8
Emilio Carranza,83,MX,1571442550,94,19.97,-96.61,74.18,1.7
Bam,57,IR,1571442551,42,29.11,58.36,55.87,1.83
Whitefish,90,US,1571442551,49,48.41,-114.33,46.4,14.99
Pisco,0,PE,1571442551,30,-13.71,-76.2,71.6,14.99
Magadan,100,RU,1571442553,46,59.56,150.8,32.09,3.31
Yuksekova,20,TR,1571442553,62,37.57,44.29,55.4,4.7
Amudalavalasa,0,IN,1571442553,93,18.41,83.9,72.56,4.09
Cheremisinovo,0,RU,1571442554,90,51.89,37.26,48.98,1.05
Merauke,100,ID,1571442554,79,-8.49,140.4,76.3,16.98
Dunedin,74,NZ,1571442555,62,-45.87,170.5,62.01,13.0
Pevek,100,RU,1571442555,89,69.7,170.27,29.75,17.9
Pangody,14,RU,1571442555,89,65.85,74.49,21.15,9.66
Lubango,4,AO,1571442556,69,-14.92,13.49,73.04,4.32
Pacifica,20,US,1571442558,87,37.61,-122.49,66.2,9.17
Juneau,90,US,1571442561,93,58.3,-134.42,46.4,16.11
Byron Bay,61,AU,1571442562,53,-28.65,153.62,78.01,8.05
Acapulco,90,MX,1571442563,83,16.86,-99.88,82.4,3.36
Jalu,90,LY,1571442563,81,29.03,21.55,70.16,13.73
Praia,54,BR,1571442564,29,-20.25,-43.81,80.6,4.7
Dawlatabad,0,AF,1571442565,68,36.41,64.91,46.3,2.08
Turi,0,IT,1571442566,100,40.92,17.02,64.99,1.12
Dinguiraye,79,GN,1571442567,86,11.29,-10.71,69.86,3.78
Altamira,96,BR,1571442567,89,-3.2,-52.21,75.22,3.91
Marystown,76,CA,1571442568,2,47.17,-55.16,57.0,4.0
Assiniboia,4,CA,1571442569,50,49.63,-105.99,50.51,5.35
Cruzeiro do Sul,90,BR,1571442570,100,-7.63,-72.67,75.2,2.24
Santa Fe,62,AR,1571442570,70,-31.62,-60.7,64.99,5.3
Nishihara,75,JP,1571442571,100,35.74,139.53,64.0,6.93
Puerto Escondido,75,MX,1571442571,70,15.86,-97.07,86.0,2.37
Thessalon,1,CA,1571442571,81,46.26,-83.55,44.6,3.65
Shenjiamen,0,CN,1571442572,75,29.96,122.3,66.65,17.13
Jacksonville Beach,1,US,1571442573,60,30.29,-81.39,73.4,8.05
Longyearbyen,75,NO,1571442574,57,78.22,15.63,19.4,13.87
Bukene,28,TZ,1571442576,89,-4.23,32.89,65.9,2.3
Lagoa,20,PT,1571442576,68,37.14,-8.45,64.4,5.82
Mamallapuram,75,IN,1571442577,100,12.63,80.17,78.01,6.33
Filingue,64,NE,1571442577,30,14.35,3.32,92.68,8.03
Navirai,84,BR,1571442578,92,-23.07,-54.19,69.7,11.56
Honningsvag,95,NO,1571442580,60,70.98,25.97,37.67,17.38
Meshchovsk,47,RU,1571442580,93,54.32,35.29,47.77,4.54
Noumea,0,NC,1571442580,35,-22.28,166.46,84.2,11.41
Lujan,38,AR,1571442581,31,-46.57,-67.67,63.07,14.03
Vestmanna,85,FO,1571442581,80,62.16,-7.17,41.0,6.93
Punta Alta,90,AR,1571442581,93,-27.46,-55.82,66.2,9.17
Extrema,20,BR,1571442582,73,-22.86,-46.32,77.0,4.7
Nouakchott,0,MR,1571442582,48,18.08,-15.98,87.8,10.29
Cedral,68,MX,1571442582,32,23.82,-100.72,78.5,7.4
Mandalgovi,83,MN,1571442583,55,45.76,106.27,41.71,22.93
Olutanga,71,PH,1571442584,75,7.31,122.85,82.64,1.72
Bilibino,100,RU,1571442584,95,68.06,166.44,13.25,3.2
La Serena,75,CL,1571442585,76,-29.9,-71.25,57.2,8.05
Mecca,0,SA,1571442585,51,21.43,39.83,83.57,3.96
